Star Rating,Comment
5,"Nhân viên bán hàng chuyên nghiệp, tư vấn nhiệt tình."
2,Mới mua nhưng màn hình màu không đẹp
2,máy tụt pin kinh khủng.
1,mới mua mà tụt pin nhanh
3,Cam điện thoại xước có được bảo hành không ạ
4,"Máy mới mua được 2 tuần, trải nghiệm khá ok. "
5,"Đã mua và trải nghiệm, cực kì hài lòng nha các bạn"
5,"Điện thoại chơi điện tử rất mượt, camera nét lắm, nói chung là rất thích"
3,mua iPhone 13 ở thế giới di động có kèm cổng sạc không ạ
1,nhân viên rất tệ
1,"Máy rất tệ sau hơn 1 tháng trải nghiệm, máy đơ và bị sập nguồn liên tục"
5,Máy dùng rất tốt
4,"Thực sự thì sau một khoảng thời gian sử dụng, máy chạy khá ổn"
5,Vẫn sử dụng rất tốt
1,"Vừa mua được vài tiếng đã bị sọc màn hình, loạn cảm ứng"
5,"Từ lúc mua máy về tới thời điểm này máy rất ok, máy chạy mượt và nhanh"
5,rất ok
5,Rất ok
2,điện thoại hơi yếu nên không dùng được quá nhiều ứng dụng hoặc chơi điện tử
5,"Màn hình rất mượt, rất ok"
2,"Máy chụp ảnh rất chậm nhiều lúc bị đơ. Đang chụp tự dưng sập nguồn, phải khởi động lại."
5,sản phẩm tốt
3,Thời điểm này có nên mua ip 12 không ạ
5,Sản phẩm ok
3,máy này người lớn tuổi sử dụng được không ạ
2,sạc pin điện thoại mà máy nóng sợ quá. 
3,Nên sử dụng máy như thế nào để duy trì pin 100% vậy ạ
3,"em mua được 20 ngày thì điện thoại bị lỗi màn hình, vậy có được đổi máy khác không ạ"
3,mình muốn hỏi trẻ con thì nên sử dụng dòng điện thoại nào vậy ạ
3,"2 ngày nay khi có cuộc gọi đến, mình vuốt ngang để nghe lúc được lúc không là bị sao vậy ạ"
4,Mọi thứ ok
2,điện thoại tụt pin quá
2,"chụp hình thôi mà máy nóng dã man, pin tụt nhanh quá"
5,máy chụp rất đẹp
2,dùng facebook thôi mà máy nóng lắm
5,sản phẩm ok
1,nhân viên làm việc kém chuyên nghiệp
2,pin tụt nhanh quá 
5,"Em mới mua ip12 cách đây 1 năm, giờ bán lại thì bán được bao nhiêu ạ"
2,"Camera quá mờ, quét mã chuyển khoản ngân hàng mãi không được. Thật sự tệ"
3,cho hỏi thời điểm này nên mua ip15 không ạ
2,"Chân sạc điện thoại bị lỏng, không vào pin. Mới mua được 2 ngày, rất thất vọng"
2,"pin tụt quá nhanh, máy nóng"
2,"xem trên website thế giới di động thấy có ưu đãi mà ra cửa hàng thì nhân viên bảo không có, quá tệ"
2,"Mới mua chưa được 1 tháng, chỉ lướt tiktok, facebook mà máy nóng như muốn nổ, mau hao pin. Màn hình đôi lúc bị lỗi"
2,"Bực mình, điện thoại mới mua mà loa điện thoại nghe quá tệ"
5,"Sản phẩm đạt chất lượng tốt, có phiếu giảm giá"
2,"mới mua máy 20 ngày mà tụt pin, quá chán"
2,pin tụt nhanh
2,Máy khi sử dụng siêu nóng.
1,"Mới mua được gần 2 tháng mà pin tụt mất 2%, đúng là thất vọng về máy"
1,"máy cứ sạc là nóng, luôn sợ nổ, loa trong bị rè, rất khó chịu."
2,"Máy gọi zalo báo lỗi micro liên tục 5 lần. Bỏ tiền nhiều mà áp lực, thấy nản"
1,"Máy nóng rất tệ, call video như muốn nổ, đang nhắn tin zalo thì tắt nguồn, nhanh hết pin nữa, đem ra cửa hàng thì không ai hỗ trợ, đùn đẩy các bộ phận để giải quyết. Rất thất vọng"
2,Giá máy cao mà nhanh tụt pin
5,sử dụng ok
2,máy nóng kinh khủng
1,Máy lỗi dù mới mua được 20 ngày
2,"Sạc mãi mà máy lâu đầy pin, nản quá"
4,màn hình máy rất đẹp
1,"máy nóng như sắp nổ, quá sợ hãi"
5,máy dùng ok
1,"nhân viên tư vấn rất tệ, không có tâm, chính sách bảo hành tư vấn một đằng, thực hiện một nẻo"
2,"máy nóng, thường xuyên đơ."
5,nhân viên tư vấn rất nhiệt tình
5,iPhone 15 Pro Max 256 GB rất ok nha.
2,"máy lỗi màn hình, nhanh nóng"
5,"Máy hoạt động tốt, mượt"
1,"máy đút tui mà cũng nóng, quá tệ"
5,"Cảm ứng rất mượt, máy xử lý nhanh và nhẹ"
2,Dùng nhanh nóng máy
5,điện thoại sử dụng tốt
2,máy nhanh nóng
2,"xử lý bảo hành chậm, chính sách chăm sóc khách hàng tệ"
1,máy nóng dù không sử dụng 
1,hao pin nhanh
5,sản phẩm tốt
3,Tạm ổn
5,Nhân viên tư vấn thân thiện và nhiệt tình
2,pin tệ quá
2,máy tụt pin nhanh quá
5,"rất khen, pin khỏe"
3,mua điện thoại ở thế giới di động có tặng dây sạc không ạ
5,nhân viên tư vấn nhiệt tình
5,"máy ok, pin tốt"
4,"Sạc pin nhanh, rất tuyệt"
2,"Máy dùng chán quá, camera bị nóng, nhanh hết pin"
5,Face ID nhanh và chính xác cực kỳ
5,Tốt
5,tốt
4,được khuyến mãi khi mua điện thoại nên rất vui
4,thế giới di động có mua lại điện thoại đã qua sử dụng không ạ
2,máy dùng đơ và chậm
2,"Màn hình xấu, bật max âm lượng nghe nhạc thì có tiếng rè rè khó chịu"
2,pin tụt nhanh quá
5,sản phẩm dùng tốt
5,"chất lượng quá tốt, nhân viên nhiệt tình"
2,thái độ nhân viên rất khó chịu
3,mua điện thoại ở thế giới di động 1 lần thì mua lần 2 có chương trình khuyến mãi gì không ạ
5,"máy xịn, tuyệt lắm"
4,"máy đẹp, ai cũng khen"
2,"mình dùng ốp lưng mà điện thoại tróc viền, chán thật"
2,"hiệu suất máy chán quá, đang dùng thì sập nguồn"
5,Sản phẩm tốt. Nhân viên tư vấn nhiệt tình
2,"mua được 20 ngày mà máy quá nhiều lỗi, thất vọng"
3,được đổi điện thoại 1-1 trong thời gian bao lâu kể từ khi mua vậy ạ
3,hiện giờ ip15promax có giá bao nhiêu vậy shop
5,"Good, đã mua một cái titan xanh, hôm qua dứt thêm cái thứ 2 titan tự nhiên.Mình fan táo từ thời 3GS tới giờ"
4,"máy dùng thích, camera đẹp"
2,"máy đơ, thao tác chậm"
1,"Máy mới mua 2 tháng đã hỏng cổng sạc Type C, gửi đi bảo hành mất thời gian và mất phí chuyển mà vẫn không sửa được cho tôi. Thất vọng về dịch vụ"
2,"Mua được 3 ngày, lỗi đổi mới 1 lần, cái mới đổi còn tệ hơn cái cũ. Liên hệ hỏi mà không ai trả lời, quá chán"
5,"Sang chảnh, xứng đáng với mức giá đó"
2,sản phẩm chán
2,hao pin nhanh
5,điện thoại apple dùng vẫn rất tuyệt
2,"điện thoại sạc không vào pin, vô cùng lo lắng với chất lượng sản phẩm"
2,"máy giật, đơ"
5,sản phẩm tốt
5,cảm ứng máy nhạy
5,"Dịch vụ tốt, sản phẩm ok, sẽ ủng hộ thế giới di động"
5,máy ổn
5,Rất ok
5,Tuyệt vời
5,sản phẩm tốt
5,Xứng đáng mua vì chất lượng tốt
2,"cảm ứng chậm, đơ"
4,"máy tốt, mức giá hợp lý"
5,"Máy ok, nhân viên dễ thương"
5,mẫu mã của máy đẹp
5,"Sử dụng rất ok, hoạt động ổn định"
5,giá điện thoại ở thế giới di động rất rẻ
5,máy dùng tốt
5,sản phẩm ok
5,"Máy dùng rất êm, chụp hình rất đẹp, ok lắm"
5,Dùng cảm thấy ok
5,Chất lượng tuyệt vời
5,Quá tuyệt vời. Nhân viên quá chu đáo
5,"trải nghiệm thật tuyệt vời, camera đẹp và máy nhẹ"
5,"nhân viên tư vấn nhiệt tình, sản phẩm dùng ok "
3,nên mua dòng điện thoại nào cho trẻ con để nghe gọi vậy ạ
2,cảm ứng chậm
2,mua được 1 tháng mà quá nhiều lỗi vặt
3,"Chào Thế Giới Di Động, tôi có mua máy s23 Ultra bên siêu thị giờ tôi muốn bán lại thì được bao nhiêu ạ? tôi mua được một tháng"
5,"Máy tốt, không lỗi gì nhé. Camera và bộ công cụ chỉnh sửa ảnh rất tiện dụng"
5,"Chất lượng tốt, giá cả hợp lý"
5,máy dùng ok
5,Hài lòng về sản phẩm. Rất cảm ơn các bạn nhân viên siêu thị thế giới di động thị trấn Thủ Thừa tỉnh Long An đã nhiệt tình hỗ trợ mình
2,"Loa nghe hơi nhỏ, camera trước chụp hình không đẹp bằng note 20, hơi thất vọng"
5,Camera đẹp
5,Tôi rất hài lòng với sản phẩm sam sung s23 ultra
5,"Tốt trong tầm giá, nên trải nghiệm."
4,Dùng cũng ok 
1,"Minh mới mua mấy tháng, chưa bị rớt mà màn hình bị lỗi tùm lum. Khi đến gặp nhân viên để hỗ trợ bảo hành thì không nhận được sự quan tâm khách hàng, mình thấy khá thất vọng"
5,Rất tốt với dòng sản phẩm này
5,"Máy rất tốt, đẹp, pin trâu, rất mượt"
5,Tôi rất hài lòng về sản phẩm s23 ultra
1,"Pin nhanh hết, hay bị mất sóng, càng dùng càng dở"
5,Luôn luôn ủng hộ Thế Giới Di Động.
5,"Tinh hoa công nghệ, đỉnh cao của điện thoại thông minh, tích hợp những công nghệ tối tân nhất vào trong một chiếc máy. Thiết kế sexy, cầm nắm đã tay, cảm giác mềm mại như làn da thiếu nữ vậy. Màn hình đẹp, pin trâu, hiệu năng ổn định, chơi điện tử tốt, đa nhiệm tuyệt vời, ứng dụng phong phú, khả năng tùy biến cao.Chụp ảnh đẹp, chụp xa, chụp gần gì cũng đều chụp rất tốt. Tổng kết lại thì mình vẫn vô cùng hài lòng với Samsung Galaxy s23 Ultra."
4,Máy dùng mượt
5,"Mới mua sử dụng được 1 tháng, mình cảm thấy máy cảm ứng mượt mà, pin sử dụng được 2 ngày quá ok"
5,Ok lắm
5,"Ngon bổ, giá phải chăng"
2,"Máy bị lỗi cache sau khi cập nhật phần mềm, dùng rất khó chịu, kết nối mạng kém. "
3,Điện thoại e vừa mới mua được 1 tuần mà muốn bán lại thì sẽ bán được bao nhiêu ạ
4,Tốt
5,chất lượng tuyệt vời
5,sản phẩm ok
5,"cảm ơn vì đã tư vấn cho tôi sản phẩm vô cùng tốt, giá cả phải chăng"
5,Dùng ok
5,"Máy chỉ ngon khi dành cho người biết sử dụng, có hiểu biết chuyên sâu sẽ tận dụng được hết chức năng của máy này. Máy cầm nhẹ, màn hình to, chụp hình đẹp, quay đẹp, đèn pin máy này sáng hơn iphone, mượt nhẹ, tối ưu, tốt"
2,máy lỗi nhiều quá
2,Vừa mua máy ngày 29/9 giá 23 triệu thì 3 ngày sau giảm còn 21tr790k. Lúc mua hỏi nhân viên thì bảo không giảm thêm nữa. Đã từng mua gần trăm triệu và luôn tin tưởng thế giới di động nhưng từ nay về sau mình và gia đình sẽ không ủng hộ thế giới di động vì làm ăn chán quá
2,"loa của điện thoại nhỏ, rè"
5,Máy rất ổn
4,Máy hiện vẫn dùng tốt
3,có chương trình khuyến mãi khi mua điện thoại s23 ultra không ạ
5,máy dùng ok
2,"Camera trước quá chán, mờ. Không bằng máy giá thấp hơn."
1,Đã lần thứ 2 đi bảo hành và không thành công. Hiện giờ phải dùng máy hỏng của thế giới di động bán
5,Sản phẩm dùng ổn định
5,"ok, máy dùng tốt"
5,"Điện thoại dùng rất tốt, nhanh, mượt, pin ổn, màn hình đẹp. Đặc biệt hài lòng với thái độ của các nhân viên ở thế giới di động"
5,Sản phẩm tuyệt vời nha các bạn
5,màn hình mượt
2,camera chụp hình mờ lắm
5,Tuyệt vời lắm ạ!
5,đáng khen cho sản phẩm này
5,Máy dùng ok.
1,"Khả năng chống nước kém, không giống khi nhân viên tư vấn"
5,sản phẩm tốt
5,"Dùng khá tốt, chủ yếu nghe nhạc nên ổn lắm. Kết nối lại khá nhanh nên ổn."
5,âm thanh loa của điện thoại này rất hay
2,"sản phẩm được khuyến mãi mà nhân viên không giới thiệu, rất bực"
4,"Tiền nào của đó, tùy cảm nhận và sở thích mỗi người. Sản phẩm rất ok, nên mua."
5,Camera chụp rõ lắm
5,Hàng đẹp
5,"Điện thoại dùng tốt, máy ok"
4,Sản phẩm tốt
5,"Điện thoại tốt, nhanh, mượt ạ"
4,"Mình chưa khám phá hết các chức năng. Thấy bút ghi chú tuyệt nhất, rất hợp với mong muốn của mình. "
5,Máy OK lắm
2,"nhận diện khuôn mặt hơi chậm, mình giơ mặt các kiểu mà nhiều khi không nhận lại phải dùng mật khẩu để mở máy."
5,"Sản phẩm rất tốt, chạy rất mượt"
1,thế giới di động lừa bán cho khách hàng điện thoại chất lượng thấp
2,"thỉnh thoảng đơ màn hình, bấm không được lại phải đóng hết tất cả ứng dụng mới bấm lại được. Các chữ trên bàn phím sát nhau nên gõ chữ chậm, khó chịu"
1,"máy gì đơ mà còn hư loa, tự dưng loa nhỏ xíu, không chỉnh được, lỡ hết công việc do không nghe thấy chuông cuộc gọi"
3,giải đáp giúp sao mình đã thiết lập nhấn đúp màn hình là tắt mở điện thoại và độ sáng màn hình trong 2 phút mà cứ thi thoảng máy lại reset về chế độ mặc định ban đầu vậy
2,"kết nối 4g kém, máy dễ nóng"
2,"máy dung lượng 256gb mà mới dùng có 50gb máy đã báo hết dung lượng rồi, máy rất nóng, tụt pin rất nhanh. Bắt phải xoá hết ảnh mới sử dụng bình thường được"
2,"Hay bị mất sóng, kết nối mạng kém"
2,Cho hỏi sao mình mới mua mà nhân viên lấy hộp không màng bọc bán cho mình mà mình hỏi thì báo máy về phải test các kiểu mới bán được. Máy mình mua tận 9 triệu mà không có màng bọc kĩ như con samsung ghẻ 3 triệu nữa.
2,Mới 20 ngày sử dụng đã lỗi pin
5,"Sản phẩm dùng tốt, mượt, pin trâu. Nhân viên tư vấn nhiệt tình ạ"
3,Thế giới di động mình có dán bảo vệ camera cho reno 11F 5g không ạ
2,"máy mới mà pin nhanh hết, nhanh nóng máy"
3,Cho em hỏi là em có oppo reno7 muốn đổi sang reno11f thì còn bao nhiêu ạ
2,Pin tệ nhanh hết pin
4,"Sau trải nghiệm 1 tháng thì máy mượt, sạc pin nhanh cực. Mình thích dòng oppo vì dùng bền, kiểu dáng đẹp nữa"
5,"Dùng êm, máy mượt, đáng để mua"
2,Tụt pin nhanh trong khi không dùng
1,"Không nên mua nha mọi người. Lỗi quá nhiều: lỗi sóng, Full cột 4G vẫn không có mạng, lỗi cảm ứng, thường xuyên bị đơ và treo cảm ứng, lỗi loa, hay bị mất tiếng khi vào điện tử phải reset lại, thường xuyên bị out camera khi đổi cam góc rộng. Camera xấu quắc, pin thấy hơi ảo so với hãng khác. Tóm lại là 1 sao Không nên mua"
2,"Chơi điện tử cứ bị đơ, rất bực vì mỗi lần vậy là bàn phím nó cũng bị đơ luôn"
1,Tệ quá tệ. Máy lỗi mà xử lý hết lỗi cũng ráng dùng. Giờ đổi cũng không hết lỗi mà trả thì mất 20% mới mua 2 tuần. Chẳng lẻ bỏ tiền mua máy lỗi về dùng. Chính sách bảo hành cứng nhắc như vậy thì không ai dám sử dụng nữa.
1,"Pin hao rất nhanh, còn hao nhanh hơn con redmi 11 đang dùng. Chỉ để không thôi cũng hao 30% pin, mạng kém vì vậy không nên mua"
4,"Máy điện thoại này dùng thấy hoạt động bình thường, không lỗi gì, các loại sóng tốt, Camera chụp chấp nhận được. "
2,"Mua hồi 20/5, bắt sóng mạng rất tệ, hầu như không gửi tin nhắn đi được"
1,"Mua được 2 hôm. Cứ vào google maps là lại bị văng ra. Dùng mấy đời xiaomi chưa có lần nào trải nghiệm tệ như này, nhân viên tổng đài thái độ lồi lõm. Âm điểm dịch vụ. Không nên mua."
1,"Không nên mua vì mạng cực kém luôn. Ngoài ra camera trước chụp rất xấu, Live rất tệ. Xác nhận khuôn mặt để làm giấy tờ điện tử không thể xác nhận vì camera quá tệ. Nói chung camera trước và bắt mạng quá tệ"
5,"Máy đẹp, cấu hình ổn nhất trong tầm giá"
1,"Khuyên mọi người không nên mua dòng máy này. Pin hao nhanh mình mua được hơn tháng. Thu sóng, 4g rất kém kém kém luôn, một ngày mất sóng 3-4 lần, có những lần đang chơi điện tử nữa cay dù mình ở khu dân cư chứ không phải hẻo lánh trong rừng nha, mà mất sóng trong khi mình dùng hai cái điện thoại hai hãng khác nhau, điện thoại kia không bị. Đặc biệt, loa hay bị mất tiếng đang lướt tik tok, nghe nhạc cái mất tiếng luôn phải khởi động lại máy thì loa mới hết hư. Bực cả mình"
2,Máy hoạt động tạm ổn tuy nhiên pin tụt quá nhanh. Không hiểu hãng thiết kế pin kiểu gì hay do cục pin của máy này. Để không trong vòng 1 tiếng vẫn tụt 78%
2,màn hình bị lỗi
3,bên shop có chính sách thu lại sản phẩm đã qua sử dụng không
5,Máy êm lắm ạ
2,camera chụp hình không đẹp chút nào
3,"Tổng thể thì nói chung OK. Khá đẹp. Sạc siêu nhanh. Dùng bình thường không điện tử thấy cũng tương đối tốt. Hạn chế sau 2 tháng dùng thấy thỉnh thoảng bị lag vân tay, 1 lần không nhận tại nghe khởi động lại là được, 1 lần không nhận sim phải khởi động lại. Cái khó chịu nhất là khi nhắn tin cứ tự động đề xuất và tự động điền những từ ngữ sai, ảnh hưởng đến tốc độ nhắn tin, thậm chí nếu không để ý thì thành sai hẳn nội dung "
3,"Máy ngoại hình đẹp, camera 108 chụp cũng không đẹp lắm tạm ổn, máy hay đơ, cảm ứng hay bị lag, phần mềm tệ hơn con redmi Note 10 đang dùng, không cài video làm hình nền được, cắm tai nghe chẳng thấy báo trên thanh thông báo...tạm ổn"
2,"Vân tay trong màn hình rất kém. Có như không. Camera mới đầu vào còn bị treo.vừa rồi cập nhật thì hết treo. Đèn flash tối, loa ngoài bé, mạng mạng bắt kém. Pin hao nhanh. Mua máy mới nhưng khi nhân viên mang ra thì đã bị bóc hộp. Dùng đến hôm nay 1 tháng rồi mà mình thấy nó chả hơn con redmi note 10 4g mình dùng từ năm 2021. Hơn cái vân tay màn hình thì coi như vô dụng"
5,"Mình mua máy cũng được mấy tháng rồi tuy mình không dùng mà là con gái mình dùng thỉnh thoảng mình có dùng thử mình thấy vẫn ổn không có gì mình có hỏi con thì con bao chẳng có gì khác thường chả biết mọi người dùng thế nào mà bảo pin nhanh hết chứ theo mình thấy pin con này dùng khá là ổn định đấy, mọi chức năng đều ok hết. Nói chung là mình từ ngày biết dùng điện thoại đến nay mình toàn dùng dòng xiaomi này thôi chưa dùng hãng khác bao giờ vì thấy dùng dất là ok, pin khỏe, sóng căng, chụp hình cũng tạm ổn. Mình thích nhất trên dòng này là nó có mắt hồng ngoại điều khiển được các thiết bị ngoại vi. Nói chốt lại là máy tầm trung như này là ok rồi không đòi hỏi gì thêm"
2,"Hao pin quá nhanh, cùng pin 5000 nhưng con redmi note 11 dùng được 2 ngày mới sạc. Đổi con 13 sạc đầy lúc 21h, sáng còn 93%. Giảm tần số 60hz, dark mode, bật tiết kiệm pin dùng mạng internet di động xem Facebook + YouTube khoảng 6 tiếng, còn lại nằm đợi 7 tiếng mà đến 20h cùng ngày máy báo 19% pin. Xiaomi đang giảm dần chất lượng"
1,"mọi người đừng mua máy ở thế giới di động nữa, mua nó bán hàng trưng bày rồi không cho phiếu bảo hành nữa"
1,"Thật sự là rất tệ, trung bình mỗi ngày mình phải khởi động lại máy một lần, lúc thì màu nền tự dưng bị phơi sáng, lúc thì mọi người gọi nói không nghe đc gì cả, cứ chập chờn, mạng thì kém, điện thoại ai cũng vào được mà mỗi điện thoại mình bị, thêm lỗi nữa là pin mau hết lắm"
2,"Ra đường là không thể chuyển tiền được, bắt sóng mạng kém"
2,Bật dữ liệu lên rồi vào lướt Facebook khoảng chừng 20 là máy bắt đầu nóng lên không hiểu sao ram 8gb mà nhanh nóng máy thế
4,"Sản phẩm dùng tốt, sạc nhanh"
5,Màn hình đẹp
2,"Máy dùng được vài hôm tự dưng lại mất âm thanh phải khởi động lại thì mới có, vuốt chạm thì hay giật, lag. Không đáng tiền. "
1,"máy tụt pin rất nhanh, chán thật sự"
2,máy điện thoại ở thế giới di động chất lượng giảm sút quá
1,"Mua 2 máy, cả 2 đều lỗi mất âm thanh phải khởi động lại mới hoạt động."
1,"Mới mua 10h tối qua 4tr590 sáng nay còn 4tr390. Như bị lừa về giá cả sản phẩm, bực mình"
1,"Mới mua tối qua 4tr790 sáng ra còn 4tr590, cảm giác như bị lừa. Thất vọng về thế giới di động"
2,"Khi quay video zoom 3x thì vỡ nét, xấu lắm"
3,Giá trên website và giá mua tại cửa hàng có chênh nhau không ạ
2,"thế giới di động ngày càng bán những sản phẩm chất lượng thấp, giá lung tung"
2,"Mình mua được nửa tháng, dùng toàn mất âm thanh với rè rè loa không nghe được"
1,"Bán thì để giá cho nó bình ổn, lúc lên lúc xuống, mới mua hay hôm trước hôm sau lên thấy giá giảm mấy trăm nghìn. Rất khó chịu với giá sản phẩm"
1,"Dùng khoảng vài ngày đến 1 tuần thì mất âm thanh, phải khởi động lại máy mới có lại ạ "
2,"Sản phẩm sử dụng tạm ổn trong tầm giá, chỉ có phụ kiện theo máy hơi tệ, cáp sạc rất dễ hỏng, mới sử dụng 2 tháng là gãy vỡ nối cáp sạc rồi, chụp hình gửi hỏi thì tổng đài kêu đem ra siêu thị kiểm tra, xong ra đến nơi thì nói cáp sạc không bảo hành, vậy kêu đem ra làm gì mất thời gian của khách hàng"
2,Mới mua 4990k. Hôm sau còn 4590k. Bực mình về giá điện thoại ở đây
2,"Mới mua 4990k, 2 hôm sau giảm 300k, tức với giá điện thoại của thế giới di động"
4,Minh mua được nữa tháng về sử dụng củng khá ổn
2,"sản phẩm chất lượng tệ, không bao giờ mua hàng thế giới di động nũa"
1,"Mới mua ngày 8/5/2024 vài ngày thì bị tắt mất tiếng loa, khởi động lại mới sử dụng được, mới mua vài ngày lại giảm giá so với hôm trước công nhận đáng tiếc thật."
1,"Sản phẩm mua của thế giới di động chán quá, mới mua được 3 tháng đơ mất tiếng, tự tắt nguồn quá thất vọng. "
1,"Sản phẩm người ta dùng thử rồi cũng đóng hộp bán mới, thất vọng"
2,"Khi có cuộc gọi tới móc trong túi ra là màn hình tối đen, cảm ứng đơ nên không thể kịp thời nghe máy, rất phiền"
5,"Máy dùng tốt, chạy phà phà, mạng bắt nhanh, chơi liên quân Free Fire tầm trung dùng rất tốt"
2,"Máy tụt pin hơi nhanh, đêm sạc đầy pin không dùng qua đêm mà cũng bị giảm 10% pin, Mạng sóng 4G mà bắt hơi kém có khi còn không bắt được, bắt mạng cũng yếu"
4,"Sử dụng được vài ngày thì cảm thấy tốt, so với Oppo thì tương đối như nhau. Pin rất lâu, trâu lắm"
2,Máy tự nhiên mất âm thanh rồi bị đơ màn hình không làm gì được
5,"Cấu hình tốt, màn hình đẹp"
5,"Rất tốt, đáng mua"
5,"Nói chung trước đây đã mua dùng, mua lại lần 2, nói chung đồ điện tử xiaomi rất ok, đôi khi có những lỗi nhưng khởi động lại là hết, không ảnh hưởng gì. Đa số thấy điện thoại hao pin, Dùng máy màn hình đẹp, cấu hình cao tần số quét cao thì hao pin nhưng bù lại có sạc nhanh và trải nghiệm tốt."
1,"Mới mua 2 tháng mà ban đầu là đơ màn hình, bảo hành 1 lần rồi. Sau đó là thường xuyên tắt âm thanh, khởi động lại được, vài ngày sau lại bị tiếp. Trải nghiệm tệ quá. Hối hận khi mua. Bảo hành vài ngày rồi điện thoại đâu dùng được nên mệt khi gửi bảo hành quá"
3,"Mình mới mua được 2 tháng, máy bị nóng hơn bình thường, dù mình chỉ xem Facebook hoặc YouTube, bây giờ còn bị mất tiếng và loa, phải tắt nguồn mở lại mới hết, mà vài ngày lại bị mất tiếng, chán thật sự"
5,"Từ iphone chuyển qua dùng cũng thấy ổn, hài lòng với pin, cấu hình và hệ điều hành tốt"
5,máy tốt
3,Cho mình hỏi chính sách bảo hành của sản phẩm Xiaolin Redmi Note 13 như thế nào vậy ạ
5,"Chụp hình sắc nét, rất tốt"
5,"Tốt, không gì để chê"
5,"màn hình đẹp, đáng để mua"
5,"cảm ứng rất nhạy, rất đúng ý tôi"
5,"chơi điện tử ok, sạc nhanh, rất đáng để thử"
5,"màn hình sáng, viền mỏng, camera chụp siêu nét, chụp cảnh bao đẹp"
5,"Máy ngon nha, lên được HyperOS, màn hình đẹp. Sẽ giới thiệu cho người thân"
4,"Máy ngon, độ phân giải tốt "
2,"lỗi khởi động lại chờ cả 10 phút, quá thất vọng"
